Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,,Player
2002,39,NYY,AL,13,6,0.684,4.35,29,29,0,0,0,0,180,172,94,87,18,63,6,192,7,0,14,768,102,3.3,1.306,8.6,0.9,3.2,9.6,3.05,,,Roger Clemons
2003,40,NYY,AL,17,9,0.654,3.91,33,33,0,1,1,0,211.2,199,99,92,24,58,1,190,5,0,5,878,113,3.6,1.214,8.5,1,2.5,8.1,3.28,AS,,Roger Clemons
2004,41,HOU,NL,18,4,0.818,2.98,33,33,0,0,0,0,214.1,169,76,71,15,79,5,218,6,0,5,878,145,3.11,1.157,7.1,0.6,3.3,9.2,2.76,ASCYA-1MVP-8,,Roger Clemons
2005,42,HOU,NL,13,8,0.619,1.87,32,32,0,1,0,0,211.1,151,51,44,11,62,5,185,3,1,3,838,226,2.87,1.008,6.4,0.5,2.6,7.9,2.98,ASCYA-3MVP-22,,Roger Clemons
2006,43,HOU,NL,7,6,0.538,2.3,19,19,0,0,0,0,113.1,89,34,29,7,29,1,102,4,0,3,451,194,3.02,1.041,7.1,0.6,2.3,8.1,3.52,,,Roger Clemons
2007,44,NYY,AL,6,6,0.5,4.18,18,17,0,0,0,0,99,99,52,46,9,31,0,68,5,0,7,420,108,4.14,1.313,9,0.8,2.8,6.2,2.19,,,Roger Clemons
24 Yrs,24 Yrs,24 Yrs,24 Yrs,354,184,0.658,3.12,709,707,0,118,46,0,4916.2,4185,1885,1707,363,1580,63,4672,159,20,143,20240,143,3.09,1.173,7.7,0.7,2.9,8.6,2.96,,,Roger Clemons
162 Game Avg.\pitch_glossary.shtml#162_avg,162 Game Avg.\pitch_glossary.shtml#162_avg,162 Game Avg.\pitch_glossary.shtml#162_avg,162 Game Avg.\pitch_glossary.shtml#162_avg,17,9,0.658,3.12,34,34,0,6,2,0,236,201,91,82,17,76,3,224,8,1,7,972,143,3.09,1.173,7.7,0.7,2.9,8.6,2.96,,,Roger Clemons
BOS (13 yrs),BOS (13 yrs),BOS (13 yrs),BOS (13 yrs),192,111,0.634,3.06,383,382,0,100,38,0,2776,2359,1045,943,194,856,43,2590,86,18,72,11384,144,2.94,1.158,7.6,0.6,2.8,8.4,3.03,,,Roger Clemons
NYY (6 yrs),NYY (6 yrs),NYY (6 yrs),NYY (6 yrs),83,42,0.664,4.01,175,174,0,3,2,0,1103,1044,536,491,116,398,8,1014,41,1,50,4684,114,3.8,1.307,8.5,0.9,3.2,8.3,2.55,,,Roger Clemons
HOU (3 yrs),HOU (3 yrs),HOU (3 yrs),HOU (3 yrs),38,18,0.679,2.4,84,84,0,1,0,0,539,409,161,144,33,170,11,505,13,1,11,2167,180,3,1.074,6.8,0.6,2.8,8.4,2.97,,,Roger Clemons
TOR (2 yrs),TOR (2 yrs),TOR (2 yrs),TOR (2 yrs),41,13,0.759,2.33,67,67,0,14,6,0,498.2,373,143,129,20,156,1,563,19,0,10,2005,196,2.44,1.061,6.7,0.4,2.8,10.2,3.61,,,Roger Clemons
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roger Clemons
AL (21 yrs),AL (21 yrs),AL (21 yrs),AL (21 yrs),316,166,0.656,3.21,625,623,0,117,46,0,4377.2,3776,1724,1563,330,1410,52,4167,146,19,132,18073,139,3.1,1.185,7.8,0.7,2.9,8.6,2.96,,,Roger Clemons
NL (3 yrs),NL (3 yrs),NL (3 yrs),NL (3 yrs),38,18,0.679,2.4,84,84,0,1,0,0,539,409,161,144,33,170,11,505,13,1,11,2167,180,3,1.074,6.8,0.6,2.8,8.4,2.97,,,Roger Clemons
